zoom	geonameid	name	asciiname	latitude	longitude	country code	admin1 code	population
8	5015618	Wyoming	Wyoming	42.91336	-85.70531	US	MI	70308
8	5016024	Albert Lea	Albert Lea	43.64801	-93.36827	US	MN	17605
8	5016884	Austin	Austin	43.66663	-92.97464	US	MN	23451
8	5017822	Bemidji	Bemidji	47.47356	-94.88028	US	MN	13331
8	5019116	Brainerd	Brainerd	46.35802	-94.20083	US	MN	14218
8	5026114	Fairmont	Fairmont	43.65218	-94.46108	US	MN	10576
8	5026416	Fergus Falls	Fergus Falls	46.28302	-96.07756	US	MN	14364
8	5030005	Hibbing	Hibbing	47.42715	-92.93769	US	MN	16638
8	5036727	Marshalltown	Marshall	44.4469	-95.78835	US	MN	12348
8	5040647	Owatonna	Owatonna	44.08385	-93.22604	US	MN	23955
8	5051468	Virginia	Virginia	47.52326	-92.53657	US	MN	8709
8	5052916	Willmar	Willmar	45.12191	-95.04334	US	MN	18473
8	5053460	Worthington	Worthington	43.61996	-95.5964	US	MN	11274
8	4419500	Brookhaven	Brookhaven	31.57906	-90.44065	US	MS	9786
8	4421935	Clarksdale	Clarksdale	34.20011	-90.57093	US	MS	19143
8	4422713	Corinth	Corinth	34.93425	-88.52227	US	MS	14168
8	4428495	Greenwood	Greenwood	33.51623	-90.17953	US	MS	17162
8	4433039	Laurel	Laurel	31.69405	-89.13061	US	MS	17891
8	4435318	McComb	McComb	31.24379	-90.45315	US	MS	13017
8	4437982	Natchez	Natchez	31.56044	-91.40317	US	MS	17118
8	4446675	Southaven	Southaven	34.98898	-90.01259	US	MS	38578
8	4447161	Starkville	Starkville	33.4504	-88.81839	US	MS	22820
8	4389418	Hannibal	Hannibal	39.70838	-91.35848	US	MO	17568
8	5055787	Kirksville	Kirksville	40.19475	-92.58325	US	MO	16973
8	4394870	Lee’s Summit	Lees Summit	38.91084	-94.38217	US	MO	70700
8	4398103	Mexico	Mexico	39.16976	-91.88295	US	MO	10788
8	4398730	Moberly	Moberly	39.41837	-92.43824	US	MO	13849
8	4404233	Poplar Bluff	Poplar Bluff	36.757	-90.39289	US	MO	16488
8	4406282	Rolla	Rolla	37.95143	-91.77127	US	MO	17865
8	4408000	Sedalia	Sedalia	38.70446	-93.22826	US	MO	19772
8	4408672	Sikeston	Sikeston	36.87672	-89.58786	US	MO	17026
8	4414200	West Plains	West Plains	36.72812	-91.85237	US	MO	11050
8	5656497	Havre	Havre	48.55	-109.68409	US	MT	9379
8	5660340	Kalispell	Kalispell	48.19579	-114.31291	US	MT	18018
8	5063646	Beatrice	Beatrice	40.26806	-96.74697	US	NE	13198
8	5063805	Bellevue	Bellevue	41.13667	-95.89084	US	NE	48099
8	5066001	Columbus	Columbus	41.42973	-97.36838	US	NE	20823
8	5069802	Hastings	Hastings	40.58612	-98.38839	US	NE	23001
8	5697383	McCook	McCook	40.20195	-100.62571	US	NE	7994
8	5073965	Norfolk	Norfolk	42.02834	-97.417	US	NE	24094
8	5697939	North Platte	North Platte	41.12389	-100.76542	US	NE	24172
8	5699404	Scottsbluff	Scottsbluff	41.86663	-103.66717	US	NE	14869
8	5512862	Sparks	Sparks	39.53491	-119.75269	US	NV	84662
8	5084633	Claremont	Claremont	43.37674	-72.34676	US	NH	13562
8	5088262	Keene	Keene	42.93369	-72.27814	US	NH	22891
8	5088438	Laconia	Laconia	43.52785	-71.47035	US	NH	17533
8	5088597	Lebanon	Lebanon	43.64229	-72.25176	US	NH	12853
8	5097529	Edison	Edison	40.51872	-74.4121	US	NJ	102548
8	5099836	Jersey City	Jersey City	40.72816	-74.07764	US	NJ	237681
8	5102466	Paterson	Paterson	40.91677	-74.17181	US	NJ	151205
8	5102922	Princeton	Princeton	40.34872	-74.65905	US	NJ	12945
8	4504856	Wildwood	Wildwood	38.99178	-74.81489	US	NJ	5161
8	5468773	Gallup	Gallup	35.52808	-108.74258	US	NM	19454
8	5108093	Batavia	Batavia	42.99812	-78.18752	US	NY	15831
8	5110077	Brentwood	Brentwood	40.78121	-73.24623	US	NY	58107
8	5113760	Corning	Corning	42.14285	-77.05469	US	NY	10451
8	5113790	Cortland	Cortland	42.60118	-76.18048	US	NY	18017
8	5115495	Dunkirk	Dunkirk	42.4795	-79.33393	US	NY	13131
8	5118398	Geneva	Geneva	42.86896	-76.97774	US	NY	13429
8	5118693	Glens Falls	Glens Falls	43.30952	-73.64401	US	NY	14169
8	5118743	Gloversville	Gloversville	43.05285	-74.34375	US	NY	15120
8	5120478	Hempstead	Hempstead	40.70621	-73.61874	US	NY	52837
